dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y2002;FSU;0.21;0.25;0.25;0.22;0.24
y2002;LAM;0.2;0.19;0.18;0.2;0.19
y2002;MEA;0.1;0.11;0.1;0.1;0.1
y2002;NAM;0.27;0.29;0.28;0.27;0.26
y2002;PAO;0.23;0.24;0.24;0.23;0.23
y2002;PAS;0.1;0.11;0.1;0.12;0.13
y2002;SAS;0.09;0.09;0.09;0.09;0.08
y2003;AFR;0.07;0.09;0.08;0.08;0.08
y2003;CPA;0.2;0.16;0.14;0.16;0.2
y2003;EUR;0.28;0.29;0.28;0.28;0.28
y2003;FSU;0.21;0.25;0.25;0.22;0.25
y2003;LAM;0.2;0.19;0.18;0.2;0.19
y2003;MEA;0.1;0.11;0.11;0.11;0.1
y2003;NAM;0.27;0.29;0.28;0.27;0.26
y2003;PAO;0.23;0.24;0.24;0.23;0.23
y2003;PAS;0.1;0.11;0.1;0.12;0.13
y2003;SAS;0.09;0.09;0.09;0.09;0.08
y2004;AFR;0.07;0.09;0.08;0.08;0.08
y2004;CPA;0.21;0.17;0.14;0.16;0.21
y2004;EUR;0.27;0.29;0.28;0.28;0.28
y2004;FSU;0.21;0.26;0.25;0.22;0.25
y2004;LAM;0.2;0.19;0.18;0.2;0.19
y2004;MEA;0.1;0.11;0.11;0.11;0.1
y2004;NAM;0.27;0.29;0.28;0.26;0.26
y2004;PAO;0.22;0.24;0.24;0.23;0.23
y2004;PAS;0.1;0.11;0.11;0.12;0.13
y2004;SAS;0.09;0.09;0.09;0.09;0.08
y2005;AFR;0.07;0.09;0.08;0.08;0.08
y2005;CPA;0.21;0.17;0.15;0.16;0.21
y2005;EUR;0.27;0.29;0.28;0.28;0.27
y2005;FSU;0.21;0.26;0.25;0.22;0.25
y2005;LAM;0.2;0.19;0.18;0.21;0.19
y2005;MEA;0.11;0.11;0.11;0.11;0.1
y2005;NAM;0.28;0.29;0.28;0.26;0.26
y2005;PAO;0.23;0.24;0.24;0.23;0.23
y2005;PAS;0.1;0.11;0.11;0.12;0.13
y2005;SAS;0.09;0.09;0.09;0.09;0.08
y2006;AFR;0.07;0.09;0.08;0.09;0.08
y2006;CPA;0.22;0.18;0.15;0.17;0.22
y2006;EUR;0.27;0.29;0.28;0.28;0.27
y2006;FSU;0.21;0.27;0.25;0.22;0.25
y2006;LAM;0.2;0.2;0.18;0.21;0.19
y2006;MEA;0.11;0.12;0.11;0.11;0.1
y2006;NAM;0.28;0.29;0.28;0.26;0.25
y2006;PAO;0.23;0.24;0.24;0.22;0.23
y2006;PAS;0.11;0.12;0.11;0.13;0.14
y2006;SAS;0.09;0.1;0.09;0.1;0.08
y2007;AFR;0.08;0.09;0.08;0.09;0.08
y2007;CPA;0.21;0.18;0.15;0.17;0.23
y2007;EUR;0.27;0.29;0.28;0.28;0.27
y2007;FSU;0.22;0.27;0.25;0.22;0.25
y2007;LAM;0.21;0.2;0.19;0.21;0.19
y2007;MEA;0.11;0.12;0.11;0.11;0.1
y2007;NAM;0.27;0.29;0.28;0.26;0.25
y2007;PAO;0.23;0.25;0.25;0.22;0.23
y2007;PAS;0.11;0.12;0.11;0.13;0.14
y2007;SAS;0.09;0.1;0.09;0.1;0.08
y2008;AFR;NA;0.09;0.09;0.09;0.08
y2008;CPA;NA;0.18;0.15;0.17;0.24
y2008;EUR;NA;0.29;0.28;0.27;0.27
y2008;FSU;NA;0.27;0.25;0.23;0.25
