dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y2000;EUR;23458;22825;22091;22289;23293
y2000;FSU;2565;3038;3389;2437;3263
y2000;LAM;4593;4590;4683;5126;4907
y2000;MEA;3540;3350;3482;3371;3315
y2000;NAM;38881;37235;35769;36104;39438
y2000;PAO;33052;34005;34151;35396;35339
y2000;PAS;2981;2884;2754;3513;4235
y2000;SAS;564;537;517;584;450
y2001;AFR;834;948;873;899;875
y2001;CPA;1154;994;716;875;1325
y2001;EUR;23793;23278;22369;22826;23818
y2001;FSU;2723;3256;3449;2496;3340
y2001;LAM;4563;4901;4785;5397;4989
y2001;MEA;3542;3555;3529;3512;3340
y2001;NAM;38928;37830;36123;36717;40215
y2001;PAO;33080;34447;34542;36245;35820
y2001;PAS;3037;3088;2828;3698;4485
y2001;SAS;581;573;530;617;463
y2002;AFR;841;992;881;935;884
y2002;CPA;1249;1082;745;919;1452
y2002;EUR;24015;23727;22645;23359;24340
y2002;FSU;2871;3474;3508;2555;3416
y2002;LAM;4527;5203;4883;5660;5069
y2002;MEA;3562;3749;3574;3646;3364
y2002;NAM;39301;38416;36469;37321;40981
y2002;PAO;33207;34884;34928;37086;36299
y2002;PAS;3177;3288;2900;3878;4728
y2002;SAS;592;608;543;650;475
y2003;AFR;857;1033;889;969;892
y2003;CPA;1364;1168;775;961;1577
y2003;EUR;24228;24174;22918;23888;24860
y2003;FSU;3099;3691;3567;2614;3493
y2003;LAM;4550;5497;4977;5916;5147
y2003;MEA;3746;3935;3615;3773;3388
y2003;NAM;39910;38992;36808;37914;41735
y2003;PAO;33633;35318;35310;37919;36775
y2003;PAS;3260;3483;2969;4053;4965
y2003;SAS;628;642;555;681;487
y2004;AFR;886;1073;896;1001;900
y2004;CPA;1491;1254;803;1004;1700
y2004;EUR;24769;24618;23189;24414;25379
y2004;FSU;3352;3909;3625;2673;3571
y2004;LAM;4755;5783;5069;6166;5222
y2004;MEA;3893;4112;3655;3895;3410
y2004;NAM;40939;39558;37141;38497;42479
y2004;PAO;34545;35747;35687;38745;37248
y2004;PAS;3384;3673;3035;4225;5196
y2004;SAS;667;674;567;711;499
y2005;AFR;915;1110;903;1032;907
y2005;CPA;1648;1338;831;1046;1821
y2005;EUR;25186;25058;23457;24937;25895
y2005;FSU;3578;4126;3683;2733;3648
y2005;LAM;4911;6062;5157;6409;5295
y2005;MEA;4041;4281;3693;4011;3431
y2005;NAM;41801;40116;37467;39072;43211
y2005;PAO;35187;36173;36059;39564;37718
y2005;PAS;3491;3858;3100;4392;5421
y2005;SAS;715;706;579;741;510
y2006;AFR;950;1165;922;1090;917
y2006;CPA;1844;1471;866;1102;2019
y2006;EUR;25900;25590;23791;25572;26497
y2006;FSU;3891;4421;3782;2860;3732
y2006;LAM;5126;6477;5284;6741;5390
y2006;MEA;4173;4534;3758;4191;3464
y2006;NAM;42512;40769;37874;39820;44048
y2006;PAO;35874;36707;36552;40501;38280
y2006;PAS;3630;4132;3191;4614;5753
y2006;SAS;766;754;595;792;526
y2007;AFR;989;1217;940;1145;927
y2007;CPA;2091;1602;900;1159;2214
y2007;EUR;26548;26120;24124;26203;27097
y2007;FSU;4235;4716;3881;2987;3816
y2007;LAM;5349;6882;5406;7066;5483
y2007;MEA;4298;4775;3819;4364;3496
y2007;NAM;42917;41412;38273;40556;44871
y2007;PAO;36687;37237;37041;41431;38840
y2007;PAS;3784;4401;3280;4832;6077
y2007;SAS;823;801;611;843;541
y2008;AFR;1014;1267;957;1197;937
